#     Name                      Type    M_J 	i-z 	z 	z-J 	Z - J 	J 	J - K 	J-H 	H -  K 	K      K - L´ 	L´ - M´
      SDSS J042348.57-041403.5AB T0     13.39 	2.89 	17.29 	2.99 	1.68 	14.30 	1.34 	0.79 	0.55 	12.96   1.51 	-0.45
      SDSS J110454.25+554841.4 	T0± 1.5                 19.94 	2.66 	  	17.28 	0.94 	0.55 	0.39 	16.34 	  	 
      SDSS J120747.17+024424.8 	T0              3.06 	18.41 	3.03 	  	15.38 	1.22 	0.75 	0.47 	14.16 	1.54 	 
      SDSS J151114.66+060742.9 	T0± 2           2.79 	19.09 	3.26 	  	15.83 	1.31 	0.67 	0.64 	14.52 	  	 
      SDSS J151603.03+025928.9 	T0± 1.5                 19.89 	3.01 	  	16.88 	1.53 	0.81 	0.72 	15.35 	  	 
      SDSS J152039.82+354619.8 	T0± 1           3.55 	18.31 	2.84 	  	15.47 	1.45 	0.91 	0.54 	14.02 	  	 
      SDSS J204749.61-071818.3 	T0± 1                   19.74 	3.04 	  	16.70 	1.36 	0.82 	0.54 	15.34 	1.54 	 
      SDSS J015141.69+124429.6 	T0.5    14.60 	  	19.45 	3.20 	1.84 	16.25 	1.07 	0.71 	0.36 	15.18 	1.64 	 
      SDSS J105213.51+442255.7 	T0.5± 1        >3.39 	19.11 	3.22 	  	15.89 	1.43 	0.80 	0.63 	14.46 	  	 
      SDSS J151643.01+305344.4 	T0.5± 1        >2.51 	19.99 	3.20 	  	16.79 	1.67 	0.93 	0.74 	15.12 	  	 
      SDSS J035104.37+481046.8 	T1± 1.5        >2.93 	19.57 	3.28 	  	16.33 	1.11 	0.48 	0.63 	15.15 	  	 
      SDSS J083717.21-000018.0 	T1      14.54 	  	20.06 	3.16 	1.69 	16.90 	0.92 	0.69 	0.23 	15.98 	  	 
      SDSS J085834.42+325627.7 	T1              3.02 	19.07 	2.74 	  	16.33 	1.61 	0.88 	0.73 	14.72 	  	 
      SDSS J103931.35+325625.5 	T1             >3.09 	19.41 	3.25 	  	16.16 	1.15 	0.69 	0.46 	15.01 	  	 
      SDSS J163239.34+415004.3 	T1± 1                   20.35 	3.48 	  	16.87 	0.68 	0.45 	0.23 	16.19 	  	 
      SDSS J205235.31-160929.8 	T1± 1          >3.44 	19.06 	3.02 	  	16.04 	1.04 	0.59 	0.45 	15.00 	  	 
      SDSS J073922.26+661503.5 	T1.5± 1        >2.64 	19.86 	3.11 	  	16.75 	0.70 	0.44 	0.26 	16.05 	  	 
      SDSS J090900.73+652527.2 	T1.5           >3.75 	18.75 	2.94 	  	15.81 	0.62 	0.49 	0.13 	15.19 	  	 
      SDSS J115700.50+061105.2 	T1.5                    20.20 	3.11 	1.73 	17.09 	1.09 	0.64 	0.45 	16.00 	  	 
      SDSS J140255.66+080055.2 	T1.5           >2.57 	19.93 	3.08 	  	16.85 	1.12 	0.60 	0.52 	15.73 	  	 
      SDSS J011912.22+240331.6 	T2             >2.04 	20.46 	3.60 	  	16.86 	0.60 	0.40 	0.20 	16.26 	  	 
      SDSS J024749.90-163112.6 	T2± 1.5        >2.67 	19.83 	3.10 	  	16.73 	0.92 	0.42 	0.50 	15.81 	  	 
      SDSS J075840.33+324723.4 	T2              3.96 	17.96 	3.18 	1.69 	14.78 	0.91 	0.57 	0.34 	13.87 	1.90 	 
      SDSS J125453.90-012247.4 	T2      14.00   4.22 	18.03 	3.37 	1.74 	14.66 	0.82 	0.53 	0.29 	13.84   1.59 	-0.40
      SDSS J143553.25+112948.6 	T2± 1          >2.37 	20.13 	3.09 	  	17.04 	0.89 	0.52 	0.37 	16.15 	  	 
      SDSS J152103.24+013142.7 	T2                      19.57 	3.51 	1.93 	16.06 	0.58 	0.43 	0.15 	15.48 	  	 
      SDSS J175024.01+422237.8 	T2                      19.38 	3.26 	  	16.12 	0.81 	0.55 	0.26 	15.31 	  	 
      SDSS J104829.21+091937.8 	T2.5           >2.81 	19.69 	3.30 	  	16.39 	0.52 	0.44 	0.08 	15.87 	  	 
      SDSS J143945.86+304220.6 	T2.5           >2.26 	20.24 	3.27 	  	16.97 	0.63 	0.44 	0.19 	16.34 	  	 
      2MASS J12095613-1004008 	T3              1.97 	                        15.55 	0.38 	0.31 	0.07 	15.17 	  	 
      SDSS J102109.69-030420.1AB T3     13.62 	  	19.33 	3.45 	1.78 	15.88 	0.62 	0.47 	0.15 	15.26 	1.62 	 
      SDSS J120602.51+281328.7 	T3             >3.02 	19.48 	3.38 	  	16.10 	0.13 	0.27 	-0.14 	15.97 	  	 
      SDSS J141530.05+572428.7 	T3± 1          >2.63 	19.87 	3.38 	  	16.49 	0.94 	0.40 	0.54 	15.55 	  	 
      SDSS J121440.95+631643.4 	T3.5± 1        >2.85 	19.65 	3.60 	  	16.05 	0.32 	0.25 	0.07 	15.73 	  	 
      SDSS J153417.05+161546.1AB T3.5          >2.30 	20.20 	3.58 	  	16.62 	0.56 	0.25 	0.31 	16.06 	  	 
      SDSS J175032.96+175903.9 	T3.5    13.94 	  	19.63 	3.49 	  	16.14 	0.12 	0.20 	-0.08 	16.02 	  	 
      SDSS J125011.65+392553.9 	T4             >2.55 	19.95 	3.83 	  	16.12 	0.05 	0.05 	0.00 	16.07 	  	 
      2MASS J22541892+3123498 	T4      15.01 	                                       -0.02 	0.06 	-0.08 	15.03 	1.79 	 
      2MASS J05591914-1404488 	T4.5    13.50 	  	  	  	1.98 	13.57  -0.16 	-0.07 	-0.09 	13.73 	1.59 	-0.01
      SDSS J000013.54+255418.6 	T4.5                    18.48 	3.75 	  	14.73  -0.09 	-0.01 	-0.08 	14.82 	  	 
      SDSS J020742.83+000056.2 	T4.5    14.34 	  	20.11 	3.48 	2.08 	16.63 	0.01 	-0.03 	0.04 	16.64 	  	 
      SDSS J083048.80+012831.1 	T4.5                    19.59 	3.60 	  	15.99 	-0.39 	-0.18 	-0.21 	16.38 	  	 
      SDSS J092615.38+584720.9 	T4.5                    19.01 	3.54 	  	15.47 	-0.03 	0.05 	-0.08 	15.50 	  	 
      SDSS J135852.68+374711.9 	T4.5± 1        >2.61 	19.89 	3.72 	  	16.17 	-0.49 	-0.24 	-0.25 	16.66 	  	 
      2MASS J07554795+2212169 	T5 	  	  	19.12 	3.66 	  	15.46 	-0.40   -0.24 	-0.16 	15.86 	  	 
      2MASS J15031961+2525196 	T5 	  	  	  	  	  	13.55 	-0.44 	-0.35   -0.09 	13.99 	2.08 	-0.34
      2MASS J23391025+1352284 	T5                                              15.81 	-0.36 	-0.19 	-0.17 	16.17 	  	 
      SDSS J074149.15+235127.5 	T5                      19.65 	3.78 	  	15.87 	-0.35 	-0.25 	-0.10 	16.22 	  	 
