All entries in Hipparcos input with a radial velocity
Hip #, radeg,decdeg,l,b,rv,spectral type and luminosity class 
[FORMAT(I6,5(F8.1),2X,a11)]
  1718     5.4   -16.2    89.1   -77.1    -5.0  F5V        
  1728     5.4   -20.1    77.5   -80.2    29.1  M5/M6Ib/II 
  1743     5.5    62.2   119.5    -0.5   -56.0  B0.2IV     
  1746     5.5   -26.7    34.9   -83.4    -5.0  G5V        
  1768     5.6   -27.0    32.1   -83.5     0.4  K1V        
  1772     5.6    13.5   112.2   -48.8     3.3  K3III      
  1799     5.7    29.5   115.5   -33.0     4.9  A3         
  1803     5.7   -12.2    97.4   -73.7    -6.8  G3V        
  1805     5.7    62.2   119.6    -0.4   -52.0  B0IV       
  1807     5.7   -52.5   312.9   -64.1   -58.2  K0         
  1809     5.7    38.8   116.9   -23.8   -23.2  M4III:     
  1821     5.8   -15.9    91.0   -77.0   -20.2  M0III      
  1830     5.8   -31.0   358.9   -82.7     3.0  B9IV       
  1834     5.8    55.8   118.9    -6.9   -12.1  M6:e...    
  1849     5.8   -29.8     7.5   -83.3     4.1  M2III      
  1878     5.9    29.4   115.7   -33.1   -21.8  F8IIIvar   
  1879     5.9    45.1   117.8   -17.5    35.7  G9III      
  1901     6.0    38.6   117.1   -24.0   -11.3  Se...      
  1904     6.0   -37.4   330.5   -78.2   -19.5  B8II       
  1905     6.0    44.3   117.8   -18.3    -4.0  F2         
  1913     6.1   -16.8    90.2   -77.9   -17.0  A3III      
  1921     6.1    52.0   118.7   -10.6    -7.0  B5IV       
  1928     6.1   -29.0    14.2   -83.7    -6.1  A1V        
  1934     6.1    26.4   115.4   -36.1   -15.0  K1III...   
  1936     6.1   -27.0    32.4   -84.0     3.7  K2V        
  1939     6.1    -2.2   107.3   -64.3    15.3  K1III      
  1940     6.1   -28.4    19.2   -83.9     8.0  G0V        
  1945     6.1    54.3   119.0    -8.4   -36.0  CV...      
  1948     6.2    14.3   113.2   -48.0   -15.8  K0         
  1952     6.2    31.4   116.2   -31.1     5.8  B9         
  1953     6.2   -74.2   305.4   -42.8    45.0  F7V        
  1955     6.2   -51.0   313.1   -65.6     8.3  G3IV       
  1960     6.2    61.8   119.8    -0.9    -4.0  B9III      
  1961     6.2   -23.5    62.9   -82.9     2.2  F3V        
  1977     6.3   -51.5   312.7   -65.1    -3.0  G0V        
  1982     6.3    53.0   118.9    -9.6    10.0  B9IV       
  2006     6.4     1.9   109.7   -60.3    -4.1  G5III      
  2007     6.4   -74.4   305.3   -42.6    37.0  G8III      
  2009     6.4    56.2   119.3    -6.5    -6.0  B3         
  2016     6.4    34.1   116.8   -28.5   -36.0  K0III-IV   
  2021     6.4   -77.3   304.8   -39.8    22.9  G2IV       
  2025     6.4     7.7   111.9   -54.6   -17.7  K0         
  2027     6.4   -21.6    74.7   -82.0     3.0  A0/A1V     
  2036     6.5    71.8   120.9     9.0    -5.0  B1V        
  2037     6.5    65.4   120.3     2.6   -21.2  B9         
  2055     6.5    28.9   116.3   -33.6   -52.2  M0III      
  2063     6.5    55.5   119.3    -7.2    -9.6  K0         
  2072     6.6   -43.7   318.4   -72.7    11.3  A7V        
  2081     6.6   -42.3   320.0   -74.0    74.6  K0III...   
  2085     6.6    51.3   118.9   -11.4   -21.7  F5IIvar    
  2086     6.6   -18.7    87.3   -79.8    -0.3  M1III      
  2100     6.7     0.0   109.5   -62.3   -22.7  G8III      
  2142     6.8    80.1   121.8    17.2     6.0  B9         
  2144     6.8    31.2   116.8   -31.4    30.0  M1III:     
  2148     6.8   -73.4   305.3   -43.6    20.0  F6         
  2152     6.8    25.6   116.1   -37.0   -36.1  K3III      
  2159     6.8   -25.5    47.8   -84.3    -3.0  K0III      
  2161     6.8   -36.4   330.4   -79.4    36.2  M3III      
  2170     6.8    30.9   116.9   -31.7   -20.0  K1III...   
  2178     6.9    16.0   114.6   -46.5    -4.0  A5         
  2179     6.9    14.4   114.2   -48.0   -38.1  K2         
  2180     6.9    35.6   117.5   -27.0   -14.0  NV...      
  2184     6.9   -20.1    83.8   -81.1     9.0  A9V        
  2191     6.9    58.6   119.8    -4.2   -14.0  B3V        
  2210     7.0   -33.0   342.4   -82.2    12.1  M2/M3III   
  2213     7.0    19.5   115.4   -43.0     8.3  K0         
  2219     7.0    17.9   115.1   -44.6     5.5  M3IIIvar   
  2224     7.1    16.4   114.9   -46.1    -7.0  K5III      
  2225     7.1    44.4   118.6   -18.3     2.0  A2Vs       
  2235     7.1    10.2   113.6   -52.3    -9.9  F6Vawvar   
  2237     7.1   -20.3    83.9   -81.4     7.3  G3V        
  2240     7.1   -39.9   321.9   -76.3    32.3  M0III      
  2243     7.1    32.4   117.3   -30.2   -18.0  A2p...     
  2247     7.1   -16.2    95.8   -77.9     7.0  K5V        
  2259     7.2    62.5   120.3    -0.2   -37.0  B0.5IV...  
  2263     7.2   -24.6    57.8   -84.3    18.8  A9V        
  2270     7.2    36.9   117.9   -25.8    10.0  G5III      
  2289     7.3    59.5   120.1    -3.3   -55.0  G4III      
  2297     7.3   -45.7   314.8   -70.9    11.0  A2III      
  2300     7.3    28.8   117.1   -33.8    32.4  K3III      
  2333     7.5    -0.3   111.1   -62.7    14.0  G6III...   
  2337     7.5   -14.9    99.6   -76.8     2.9  F2/F3V     
  2343     7.5    -1.1   110.8   -63.5     0.3  F0         
  2347     7.5    60.2   120.3    -2.5   -11.0  G1Ibvar    
  2352     7.5    75.2   121.5    12.4   -61.1  K0         
  2353     7.5    -4.0   109.6   -66.3     4.7  M0III      
  2354     7.5    60.2   120.3    -2.6   -11.2  F4II       
  2355     7.5    29.8   117.4   -32.9   -10.2  A7III      
  2364     7.5    54.5   119.8    -8.3   -59.2  K8         
  2374     7.6    15.8   115.5   -46.8    10.0  K0         
  2377     7.6    60.0   120.3    -2.8   -17.4  B9IIIn     
  2381     7.6   -23.8    66.9   -84.2    -0.1  A3V        
  2383     7.6   -48.2   312.5   -68.5     2.0  F2V        
  2390     7.6    65.3   120.7     2.5    -8.0  B0.5III    
  2393     7.6    32.2   117.8   -30.5    -8.0  F5         
  2409     7.7    62.4   120.5    -0.4    -1.0  B2V        
  2421     7.7    29.5   117.6   -33.1   -16.1  K1III      
  2422     7.7    77.0   121.7    14.2    19.0  K0IV       
  2434     7.8    43.4   119.0   -19.3   -11.0  F7V        
  2453     7.8    69.8   121.2     7.0    11.1  F8         
  2455     7.8    43.9   119.1   -18.8    -6.4  B8         
  2456     7.8   -35.5   329.0   -80.6    34.0  B9.5V      
  2457     7.8    55.3   120.0    -7.5   -37.0  B3         
  2459     7.8    57.3   120.2    -5.5   -19.0  B5         
  2463     7.8   -16.8    97.6   -78.7   -60.5  Fw         
  2472     7.9   -48.8   311.8   -68.0    -2.0  A0V        
  2474     7.9    66.5   120.9     3.7    -9.5  B6V        
  2475     7.9    33.6   118.2   -29.1     6.7  K1III...   
  2480     7.9    20.8   116.7   -41.8     4.0  K4III      
  2484     7.9   -63.0   306.8   -54.0    14.0  B9V        
  2487     7.9   -63.0   306.8   -54.0     9.8  A2V        
  2490     7.9    16.0   116.0   -46.6    -6.2  K0         
  2497     7.9    52.8   119.9    -9.9   -52.0  K2III      
  2505     7.9    54.5   120.1    -8.2   -12.2  B8Vn       
  2509     8.0    37.0   118.6   -25.7   -19.7  G0         
  2517     8.0    19.6   116.6   -43.0     3.7  K5III      
  2520     8.0    28.5   117.8   -34.2   -26.4  K1III      
  2525     8.0    67.2   121.1     4.4    -6.1  B3Vne      
  2526     8.0    56.0   120.2    -6.8   -13.9  K2III      
  2529     8.0    30.5   118.0   -32.1    32.0  R...       
  2533     8.0    -5.2   110.2   -67.6   -10.6  K0V        
  2537     8.0    53.8   120.1    -8.9   -28.0  K2         
  2539     8.1    35.0   118.5   -27.7    -2.0  A5IV       
  2548     8.1     7.0   114.6   -55.6    16.5  B9.5V      
  2552     8.1    67.2   121.1     4.4    10.0  M2.5Ve     
  2553     8.1    43.5   119.3   -19.2   -15.0  A1Vn       
  2565     8.1    27.6   117.8   -35.1     1.9  A2IV       
  2568     8.1    20.3   116.9   -42.4   -12.5  K0III      
  2573     8.2    23.2   117.3   -39.5  -112.0  G8III-IV   
  2578     8.2   -63.0   306.5   -54.0     5.0  A0V        
  2581     8.2    54.1   120.2    -8.6  -107.0  K2III      
