#   indx         mu         mg         mr         mi         mz          Mr
#
    3678 1.899114e+01 1.774388e+01 1.722953e+01 1.686083e+01 1.663217e+01 -2.012965e+01
    3685 1.807420e+01 1.678683e+01 1.588479e+01 1.550121e+01 1.516781e+01 -2.155694e+01
    3687 1.872158e+01 1.775911e+01 1.721472e+01 1.698357e+01 1.655569e+01 -2.020765e+01
    3723 1.939308e+01 1.759750e+01 1.674121e+01 1.631704e+01 1.601558e+01 -2.064004e+01
    3727 2.006381e+01 1.842107e+01 1.748119e+01 1.707991e+01 1.669367e+01 -1.989718e+01
    3939 1.880928e+01 1.720805e+01 1.631350e+01 1.588479e+01 1.556703e+01 -2.112547e+01
    3941 1.907365e+01 1.791092e+01 1.699216e+01 1.660574e+01 1.619487e+01 -2.040159e+01
    3952 2.017536e+01 1.845972e+01 1.747641e+01 1.706446e+01 1.675373e+01 -2.000903e+01
    3955 1.981222e+01 1.822805e+01 1.733496e+01 1.694342e+01 1.653517e+01 -2.011726e+01
    3956 2.012253e+01 1.788367e+01 1.717590e+01 1.670328e+01 1.631394e+01 -2.028168e+01
    3957 1.882870e+01 1.775599e+01 1.731398e+01 1.698801e+01 1.678413e+01 -2.005067e+01
    3960 1.890334e+01 1.716889e+01 1.618991e+01 1.578964e+01 1.549007e+01 -2.126566e+01
    3965 2.104710e+01 1.841383e+01 1.759080e+01 1.722704e+01 1.698672e+01 -1.983290e+01
    3970 1.969953e+01 1.806132e+01 1.711133e+01 1.667374e+01 1.631274e+01 -2.034247e+01
    3971 1.922165e+01 1.784107e+01 1.715959e+01 1.679048e+01 1.649324e+01 -2.054727e+01
    3972 1.864848e+01 1.760844e+01 1.698133e+01 1.664512e+01 1.636670e+01 -2.043177e+01
    3973 1.891975e+01 1.761292e+01 1.701007e+01 1.663267e+01 1.631285e+01 -2.044108e+01
    3976 1.948771e+01 1.802134e+01 1.722352e+01 1.682710e+01 1.658438e+01 -2.023857e+01
    3977 1.967914e+01 1.832378e+01 1.749475e+01 1.707442e+01 1.671469e+01 -1.994762e+01
    3997 1.859453e+01 1.724191e+01 1.656317e+01 1.620984e+01 1.604760e+01 -2.113684e+01
    3999 1.897556e+01 1.786538e+01 1.745738e+01 1.715207e+01 1.696389e+01 -1.997767e+01
    4028 1.921447e+01 1.804437e+01 1.727183e+01 1.681684e+01 1.650072e+01 -2.037906e+01
    4037 1.991459e+01 1.816693e+01 1.738986e+01 1.702506e+01 1.677426e+01 -2.031033e+01
    4050 1.898317e+01 1.799349e+01 1.734659e+01 1.699929e+01 1.690831e+01 -2.035978e+01
    4055 1.951217e+01 1.763377e+01 1.673920e+01 1.636955e+01 1.599938e+01 -2.066967e+01
    4064 1.909271e+01 1.744218e+01 1.665070e+01 1.627035e+01 1.603407e+01 -2.106675e+01
    4082 1.967591e+01 1.810843e+01 1.727011e+01 1.688656e+01 1.656859e+01 -2.017641e+01
    4084 1.912166e+01 1.798952e+01 1.742084e+01 1.709493e+01 1.687863e+01 -2.017143e+01
    4121 1.890485e+01 1.786159e+01 1.750925e+01 1.721031e+01 1.726308e+01 -2.005679e+01
    4149 1.886376e+01 1.811921e+01 1.745934e+01 1.721155e+01 1.731410e+01 -2.026526e+01
    4183 1.811888e+01 1.660204e+01 1.601257e+01 1.566983e+01 1.553377e+01 -2.152950e+01
    4219 2.006095e+01 1.844028e+01 1.749856e+01 1.712477e+01 1.685641e+01 -2.023104e+01
    4253 2.026216e+01 1.840448e+01 1.751550e+01 1.716094e+01 1.674781e+01 -1.995798e+01
    4266 1.853866e+01 1.706091e+01 1.617529e+01 1.581005e+01 1.557744e+01 -2.146938e+01
    4270 1.903850e+01 1.785785e+01 1.715615e+01 1.679916e+01 1.646007e+01 -2.047910e+01
    4297 1.896046e+01 1.793901e+01 1.729668e+01 1.695264e+01 1.679232e+01 -2.035917e+01
    4298 1.892167e+01 1.761549e+01 1.685462e+01 1.645049e+01 1.628217e+01 -2.079330e+01
    4304 1.845488e+01 1.754377e+01 1.717319e+01 1.681807e+01 1.657180e+01 -2.022607e+01
    4307 1.912112e+01 1.797926e+01 1.733889e+01 1.692062e+01 1.667575e+01 -2.029560e+01
    4324 1.983875e+01 1.801467e+01 1.712667e+01 1.675392e+01 1.632382e+01 -2.053480e+01
    4464 1.870179e+01 1.789911e+01 1.741446e+01 1.706811e+01 1.688232e+01 -2.027340e+01
    4512 1.852905e+01 1.773064e+01 1.731889e+01 1.701191e+01 1.696838e+01 -2.019333e+01
    4793 1.839567e+01 1.736797e+01 1.670307e+01 1.631330e+01 1.599168e+01 -2.092618e+01
    4812 1.868106e+01 1.749792e+01 1.686761e+01 1.649372e+01 1.624319e+01 -2.082596e+01
    4813 1.898846e+01 1.779444e+01 1.707427e+01 1.669551e+01 1.647229e+01 -2.065003e+01
    4831 1.941169e+01 1.804222e+01 1.739309e+01 1.700644e+01 1.679833e+01 -2.002762e+01
